Place,Deck,Pilot,deck_id,PC1,PC2
5th,WBR,edward40hands,4245729,-0.269444962582425,-5.45657817562688
6th,Grixis Midrange,MikeEgan,4245730,0.654575073134841,-5.11427962475191
7th,Burn,quinniac,4245731,0.508437477242014,-3.21932485065971
8th,URG,Sodeq,4245732,-3.41601790783716,3.00959586508285
1st,Jeskai Whirza,Gerschi,4231180,0.701305277419011,-1.70137850598416
2nd,Hammer Time,Lollopollo2001,4231181,-2.92157531820576,-6.88085649949475
3rd,Tron,AchtungSchaaf827,4231182,-15.0674172876528,4.21352991962103
4th,Indomitable Creativity,MrRaeb,4231183,3.89874935179357,1.88590585632231
5th,Izzet Tempo,Voltzwagon,4231184,2.46405932056442,-1.0229782347591
6th,Crashing Footfalls,MaxMagicer,4231185,1.94176854576402,3.91953599693124
7th,Burn,-Vidar-,4231186,0.460821002587139,-3.55126947301767
8th,Grixis Death's Shadow,Niko41,4231187,0.787592376707422,-5.03570162570866
1st,UWx Control,WaToO,4230275,6.40492235637246,4.23583313669495
2nd,Indomitable Creativity,Username45,4230276,3.65527244272297,2.28665282501901
3rd,Niv to Light,Martin_Dominguez,4230277,3.19549029829719,5.33250093084139
4th,Crashing Footfalls,D00mwake,4230278,2.44632677190794,3.94815353839752
5th,BGx Sacrifice,Lord_of_Puntlantis,4230279,-16.3556032224809,9.29743667274621
6th,Five-Colors Elementals,wambocombo2020,4230280,3.35733633651063,4.85073625252557
7th,Living End,Ndabe,4230281,1.96603676183752,3.67877850827093
8th,Five-Colors Elementals,kanister,4230282,3.29033663170467,4.60112632036852
